Name,Market,Price,CategoryName,ImageUrl,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Danet 2x70 gr Dana Kaburga Füme,Pazarama,"290,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/danet-2x70-gr-dana-kaburga-fume-_1995564.jpg,250,26,0,20
Başyazıcı Efsane Parmak Sucuk 400 gr,Getir Büyük,"285,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/basyazici-efsane-parmak-sucuk-400-gr-_442056.jpg,389,16,1.5,40
Bolca 1 kg Hindi Baget,Carrefoursa,"240,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-1-kg-hindi-baget-_1734834.jpg,107,25,0,1
Polonez 1 kg Rozbif Biberli Füme Et,Carrefoursa,"2.290,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/polonez-1-kg-rozbif-biberli-fume-et-_286896.jpg,129,25,0,3
Tarım Kredi 1 kg Karkas Kuzu,Tarım Kredi Kooperatifi,"510,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/tarim-kredi-1-kg-karkas-kuzu-_975020.jpg,226,16,0,18
Ettat 500 gr Dana Kıyma,a101,"109,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/ettat-500-gr-dana-kiyma-_1725401.jpg,250,26,0,20
Cumhuriyet 500 gr Acılı Parmak Sucuk,afyongıda,"485,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/cumhuriyet-500-gr-acili-parmak-sucuk-_285851.jpg,389,16,1.5,40
Günaydın 580 gr Dana Kuzu Karışık Kıyma,Getir Büyük,"548,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gunaydin-580-gr-dana-kuzu-karisik-kiyma-_1956077.jpg,250,26,0,20
Namet %15 Yağlı 400 gr Dana Kıyma,Getir Büyük,"286,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/namet-15-yagli-400-gr-dana-kiyma-_1955497.jpg,250,26,0,20
Sasu 2x160 gr Acılı Ton Balık,PttAVM,"181,79 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/sasu-2x160-gr-acili-ton-balik-_1250774.jpg,193,24,0,11
Molu Kırıntı 1 kg Pastırma,Amazon,"1.112,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/molu-kirinti-1-kg-pastirma-_1177475.jpg,200,30,3,5
Cumhuriyet Fermente 500 gr Kangal Dana Sucuk,idefix,"684,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/cumhuriyet-fermente-500-gr-kangal-dana-sucuk-_286067.jpg,432,16,2,40
Namet 1 kg Blok Mortadella Salam,Carrefoursa,"1.229,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/namet-1-kg-blok-mortadella-salam-_1245812.jpg,58,3,1,5
Pınar 90 gr Kasap Dana Bacon,PınarOnline,"144,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-90-gr-kasap-dana-bacon-_1313886.jpg,250,26,0,20
Fümeci 1 kg Dana Bacon,Carrefoursa,"1.919,92 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/fumeci-1-kg-dana-bacon-_1746211.jpg,250,26,0,20
Şahin 100 gr Dana Kuru Et,a101,"129,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/sahin-100-gr-dana-kuru-et-_1966519.jpg,185,35,0,5
Erpiliç 1 kg But Izgara Piliç,Tarım Kredi Kooperatifi,"92,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/erpilic-1-kg-but-izgara-pilic-_1051154.jpg,165,31,0,3.6
Danet 5x60 gr Dilimli Hindi Füme,Pazarama,"260,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/danet-5x60-gr-dilimli-hindi-fume-_1995565.jpg,107,25,0,1
Besler 190 gr Isıl İşlem Dana Sucuk,PttAVM,"208,01 TL",et-tavuk-ve-balik,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,432,16,2,40
